epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.8946,1.72717,2.26637,1.56238,0.22032,0.10844,0.08509,0.04121,2.09953,2.43839,1.76838,0.0670685,0.000332642,0.000332642
2,141.13,1.82072,2.10315,1.63485,0.2508,0.12022,0.08905,0.03926,2.16293,2.29568,1.78436,0.0340619,0.000659382,0.000659382
3,205.375,1.82832,2.11527,1.64421,0.22273,0.12009,0.09,0.04105,2.11626,2.31854,1.78784,0.00104868,0.000979522,0.000979522
4,269.192,1.84092,2.07907,1.64752,0.24658,0.13357,0.09943,0.04809,2.05803,2.22235,1.72679,0.0009703,0.0009703,0.0009703
5,332.962,1.79094,2.04022,1.63147,0.23726,0.1409,0.10522,0.05026,2.01451,2.17169,1.68913,0.0009604,0.0009604,0.0009604
6,396.71,1.74749,1.95716,1.59581,0.2616,0.14235,0.11267,0.05677,1.9651,2.09664,1.67221,0.0009505,0.0009505,0.0009505
7,462.065,1.73957,1.94639,1.58411,0.28317,0.15135,0.12518,0.06154,1.95164,2.04209,1.65895,0.0009406,0.0009406,0.0009406
8,528.563,1.71188,1.85616,1.56099,0.28018,0.15677,0.1256,0.06256,1.95571,2.01258,1.64645,0.0009307,0.0009307,0.0009307
9,595.368,1.69563,1.85506,1.55082,0.27134,0.15576,0.12505,0.06314,1.9055,2.00922,1.605,0.0009208,0.0009208,0.0009208
10,662.221,1.6695,1.81041,1.52753,0.2752,0.1574,0.12722,0.06417,1.91299,1.98824,1.59382,0.0009109,0.0009109,0.0009109
11,728.561,1.6617,1.78921,1.52133,0.30205,0.16388,0.13618,0.06955,1.90516,1.93293,1.59521,0.000901,0.000901,0.000901
12,794.285,1.63491,1.73882,1.50494,0.29714,0.17068,0.13794,0.0707,1.88993,1.90432,1.58383,0.0008911,0.0008911,0.0008911
13,860.117,1.60641,1.71352,1.48661,0.29249,0.16506,0.13676,0.07239,1.85188,1.92549,1.55844,0.0008812,0.0008812,0.0008812
14,926.462,1.6039,1.67654,1.47763,0.30006,0.17219,0.13902,0.0703,1.856,1.90692,1.56121,0.0008713,0.0008713,0.0008713
15,992.423,1.58322,1.65965,1.4683,0.29714,0.17314,0.14157,0.07325,1.87476,1.89307,1.5705,0.0008614,0.0008614,0.0008614
16,1058.47,1.57424,1.64534,1.45988,0.31279,0.17432,0.14367,0.07483,1.83933,1.89372,1.55202,0.0008515,0.0008515,0.0008515
17,1124.17,1.57194,1.61909,1.45233,0.29733,0.17237,0.14452,0.07535,1.83017,1.88075,1.5494,0.0008416,0.0008416,0.0008416
18,1189.55,1.58023,1.61461,1.4555,0.30583,0.18064,0.14895,0.0767,1.84724,1.86475,1.55279,0.0008317,0.0008317,0.0008317
19,1253.7,1.55743,1.59887,1.44941,0.30375,0.17725,0.14488,0.07495,1.82799,1.85909,1.53503,0.0008218,0.0008218,0.0008218
20,1317.19,1.52742,1.57527,1.43022,0.32429,0.18654,0.151,0.07933,1.80018,1.83706,1.52748,0.0008119,0.0008119,0.0008119
21,1380.74,1.53037,1.54871,1.42311,0.32833,0.17984,0.15183,0.08046,1.79413,1.7975,1.51068,0.000802,0.000802,0.000802
22,1444.26,1.51542,1.52727,1.41065,0.29843,0.1872,0.15358,0.08116,1.80125,1.79518,1.52942,0.0007921,0.0007921,0.0007921
23,1507.72,1.50803,1.52055,1.41948,0.31362,0.17964,0.15401,0.0805,1.81561,1.81415,1.52898,0.0007822,0.0007822,0.0007822
24,1571.21,1.5016,1.50097,1.40059,0.32082,0.18878,0.15658,0.08182,1.80179,1.77676,1.51439,0.0007723,0.0007723,0.0007723
25,1634.72,1.47533,1.46382,1.39245,0.32279,0.19093,0.16173,0.08571,1.79301,1.73585,1.51429,0.0007624,0.0007624,0.0007624
26,1698.16,1.48068,1.46057,1.3931,0.33942,0.19407,0.16503,0.08765,1.79514,1.75779,1.51359,0.0007525,0.0007525,0.0007525
27,1761.62,1.49255,1.46262,1.39352,0.32889,0.19379,0.1624,0.08478,1.78749,1.74754,1.51368,0.0007426,0.0007426,0.0007426
28,1825.04,1.47296,1.43599,1.38372,0.30961,0.18913,0.16285,0.08528,1.80929,1.75808,1.5112,0.0007327,0.0007327,0.0007327
29,1888.62,1.46426,1.41561,1.37234,0.32627,0.18448,0.16054,0.08391,1.79924,1.75617,1.50038,0.0007228,0.0007228,0.0007228
30,1952.18,1.45067,1.40757,1.36904,0.33484,0.19244,0.16284,0.08485,1.79994,1.73394,1.51854,0.0007129,0.0007129,0.0007129
31,2015.56,1.43888,1.40369,1.36291,0.33124,0.19511,0.16612,0.08957,1.76839,1.70895,1.49924,0.000703,0.000703,0.000703
32,2079.25,1.44143,1.41218,1.36391,0.30591,0.19623,0.15878,0.08353,1.78413,1.74503,1.51226,0.0006931,0.0006931,0.0006931
33,2142.58,1.41045,1.37222,1.34976,0.32621,0.19356,0.16291,0.0856,1.79094,1.73259,1.51434,0.0006832,0.0006832,0.0006832
34,2206.08,1.4121,1.36175,1.34512,0.34657,0.19375,0.16816,0.08841,1.77735,1.70479,1.50295,0.0006733,0.0006733,0.0006733
35,2269.59,1.40042,1.33549,1.33744,0.32321,0.19884,0.16549,0.08893,1.76631,1.72161,1.50343,0.0006634,0.0006634,0.0006634
36,2332.98,1.41752,1.35501,1.34452,0.35386,0.19523,0.16909,0.08976,1.78077,1.70421,1.49822,0.0006535,0.0006535,0.0006535
37,2396.44,1.39392,1.32429,1.32421,0.35273,0.20662,0.16932,0.08872,1.78831,1.68895,1.48559,0.0006436,0.0006436,0.0006436
38,2459.94,1.38473,1.32655,1.33204,0.30398,0.20328,0.16526,0.08675,1.77177,1.69052,1.49183,0.0006337,0.0006337,0.0006337
39,2523.46,1.41182,1.32784,1.32768,0.32866,0.19439,0.16646,0.08837,1.78258,1.68763,1.48017,0.0006238,0.0006238,0.0006238
40,2587.12,1.38131,1.29544,1.31012,0.3254,0.20347,0.16714,0.08776,1.78462,1.6948,1.49899,0.0006139,0.0006139,0.0006139
41,2650.54,1.36318,1.28284,1.31344,0.32201,0.19777,0.16602,0.08813,1.75707,1.7,1.48241,0.000604,0.000604,0.000604
42,2714.03,1.36643,1.28572,1.31881,0.31785,0.19736,0.16862,0.08941,1.77691,1.68493,1.50462,0.0005941,0.0005941,0.0005941
43,2777.31,1.36333,1.28307,1.30077,0.33436,0.20587,0.1733,0.09403,1.74944,1.63652,1.48524,0.0005842,0.0005842,0.0005842
44,2840.78,1.34668,1.24711,1.29621,0.32666,0.20145,0.16752,0.09058,1.77437,1.68318,1.4824,0.0005743,0.0005743,0.0005743
45,2904.21,1.34291,1.25546,1.2947,0.34034,0.19896,0.17079,0.09148,1.77814,1.66384,1.4876,0.0005644,0.0005644,0.0005644
46,2967.72,1.33857,1.24036,1.29493,0.32382,0.20649,0.17347,0.0931,1.76586,1.64837,1.48411,0.0005545,0.0005545,0.0005545
47,3031.14,1.33534,1.23681,1.28686,0.36267,0.19862,0.17302,0.09127,1.77929,1.65996,1.49325,0.0005446,0.0005446,0.0005446
48,3094.6,1.32773,1.21878,1.28443,0.32837,0.19614,0.16829,0.09006,1.7813,1.67831,1.50301,0.0005347,0.0005347,0.0005347
49,3157.89,1.32726,1.21783,1.28856,0.32769,0.20678,0.16955,0.0912,1.78155,1.67185,1.48162,0.0005248,0.0005248,0.0005248
50,3221.46,1.30361,1.19166,1.26923,0.33389,0.20948,0.17344,0.09005,1.77067,1.66641,1.48232,0.0005149,0.0005149,0.0005149
51,3284.99,1.32224,1.201,1.27541,0.32618,0.19997,0.17059,0.08896,1.77491,1.67055,1.48122,0.000505,0.000505,0.000505
52,3348.49,1.29818,1.1833,1.26337,0.33008,0.20703,0.17176,0.09218,1.77536,1.67372,1.48136,0.0004951,0.0004951,0.0004951
53,3411.9,1.29846,1.17562,1.26585,0.30887,0.20941,0.17022,0.09088,1.76394,1.6602,1.49512,0.0004852,0.0004852,0.0004852
